Manufacturer,Warranty Lookup URL
Dell,https://www.dell.com/support/home/en-us
HP,https://support.hp.com/us-en/check-warranty
Lenovo,https://pcsupport.lenovo.com/us/en/warranty-lookup#/
ASUS,https://www.asus.com/us/support/warranty-status-inquiry/
Acer,https://service.acer.com/warranty/en/US
Toshiba,https://support.dynabook.com/warranty
Sony,https://www.sony.com/electronics/support/serial-number-checker/11
MSI,https://account.msi.com/en/services/warranty-book
Gigabyte,https://www.gigabyte.com/Support/Consumer/Warranty/Check
Apple,https://checkcoverage.apple.com/
Intel,https://supporttickets.intel.com/s/warrantyinfo?language=en_US
Razer,https://www.razer.com/razercare/warranty
Microsoft,https://support.microsoft.com/warranty
COMPAQ,https://support.hp.com/us-en/check-warranty
Xiaomi,https://www.mi.com/global/verify/#/en/tab/imei
LG,https://www.lg.com/us/support/warranty-information#subcat=consumer&cat=none
Huawei,https://consumer.huawei.com/eg-en/support/warranty-query/
Fujitsu,https://support.ts.fujitsu.com/IndexWarranty.asp?lng=
Getac,https://support.getac.com/Service/F1800/Index?area=en-us&lang=100130&region=100025
